2020-03-22 11:31:11.694 | main | INFO  | o.s.b.StartupInfoLogger:StartupInfoLogger.java(55) | Starting PingfenApplication on yu-PC with PID 11236 (C:\Users\Administrator\Desktop\pingfen\target\classes started by Administrator in C:\Users\Administrator\Desktop\pingfen)
2020-03-22 11:31:11.699 | main | INFO  | o.s.b.SpringApplication:SpringApplication.java(651) | No active profile set, falling back to default profiles: default
2020-03-22 11:31:13.128 | main | INFO  | o.s.b.w.e.t.TomcatWebServer:TomcatWebServer.java(92) | Tomcat initialized with port(s): 8080 (http)
2020-03-22 11:31:13.140 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Initializing ProtocolHandler ["http-nio-8080"]
2020-03-22 11:31:13.141 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Starting service [Tomcat]
2020-03-22 11:31:13.142 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-03-22 11:31:13.225 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Initializing Spring embedded WebApplicationContext
2020-03-22 11:31:13.226 | main | INFO  | o.s.b.w.s.c.ServletWebServerApplicationContext:ServletWebServerApplicationContext.java(284) | Root WebApplicationContext: initialization completed in 1463 ms
2020-03-22 11:31:13.512 | main | WARN  | o.s.s.a.i.AbstractSecurityInterceptor:AbstractSecurityInterceptor.java(159) | Could not validate configuration attributes as the SecurityMetadataSource did not return any attributes from getAllConfigAttributes()
2020-03-22 11:31:13.520 | main | WARN  | o.s.s.a.i.AbstractSecurityInterceptor:AbstractSecurityInterceptor.java(159) | Could not validate configuration attributes as the SecurityMetadataSource did not return any attributes from getAllConfigAttributes()
2020-03-22 11:31:13.749 | main | INFO  | o.s.s.w.DefaultSecurityFilterChain:DefaultSecurityFilterChain.java(43) | Creating filter chain: Ant [pattern='/css/**'], []
2020-03-22 11:31:13.779 | main | INFO  | o.s.s.w.DefaultSecurityFilterChain:DefaultSecurityFilterChain.java(43) | Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@263bbfeb, org.springframework.security.web.context.SecurityContextPersistenceFilter@713064e8, org.springframework.security.web.header.HeaderWriterFilter@2d23faef, org.springframework.security.web.authentication.logout.LogoutFilter@7c29adc8, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6fca5907, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1bf39d06, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@10bd9df0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@31edeac, org.springframework.security.web.session.SessionManagementFilter@62a4417, org.springframework.security.web.access.ExceptionTranslationFilter@1aac188d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@470a659f]
2020-03-22 11:31:13.898 | main | INFO  | o.s.s.c.ExecutorConfigurationSupport:ExecutorConfigurationSupport.java(171) | Initializing ExecutorService 'applicationTaskExecutor'
2020-03-22 11:31:14.104 | main | INFO  | o.s.b.a.w.s.WelcomePageHandlerMapping:WelcomePageHandlerMapping.java(58) | Adding welcome page template: index
2020-03-22 11:31:14.258 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Starting ProtocolHandler ["http-nio-8080"]
2020-03-22 11:31:14.282 | main | INFO  | o.s.b.w.e.t.TomcatWebServer:TomcatWebServer.java(204) | Tomcat started on port(s): 8080 (http) with context path ''
2020-03-22 11:31:14.286 | main | INFO  | o.s.b.StartupInfoLogger:StartupInfoLogger.java(61) | Started PingfenApplication in 3.245 seconds (JVM running for 4.111)
2020-03-22 11:32:17.494 | http-nio-8080-exec-1 | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-03-22 11:32:17.495 | http-nio-8080-exec-1 | INFO  | o.s.w.s.FrameworkServlet:FrameworkServlet.java(525) | Initializing Servlet 'dispatcherServlet'
2020-03-22 11:32:17.503 | http-nio-8080-exec-1 | INFO  | o.s.w.s.FrameworkServlet:FrameworkServlet.java(547) | Completed initialization in 7 ms
2020-03-22 11:32:17.554 | http-nio-8080-exec-2 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/login]
2020-03-22 11:32:17.556 | http-nio-8080-exec-2 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/login]
2020-03-22 11:32:17.776 | http-nio-8080-exec-3 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/vue/index.css]
2020-03-22 11:32:17.778 | http-nio-8080-exec-5 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/vue/vue.js]
2020-03-22 11:32:17.778 | http-nio-8080-exec-4 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/vue/login.css]
2020-03-22 11:32:17.787 | http-nio-8080-exec-8 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/vue/login.js]
2020-03-22 11:32:17.788 | http-nio-8080-exec-7 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/vue/axios.min.js]
2020-03-22 11:32:17.790 | http-nio-8080-exec-6 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/vue/index.js]
2020-03-22 11:32:17.810 | http-nio-8080-exec-7 | INFO  | c.z.h.HikariDataSource:HikariDataSource.java(110) | HikariPool-1 - Starting...
2020-03-22 11:32:17.995 | http-nio-8080-exec-7 | INFO  | c.z.h.HikariDataSource:HikariDataSource.java(123) | HikariPool-1 - Start completed.
2020-03-22 11:32:18.007 | http-nio-8080-exec-7 | DEBUG | o.a.i.l.j.BaseJdbcLogger:BaseJdbcLogger.java(143) | ==>  Preparing: SELECT sr.* FROM s_role sr LEFT JOIN s_role_permission srp ON sr.id = srp.fk_role_id LEFT JOIN s_permission sp ON srp.fk_permission_id = sp.id WHERE sp.url = ? 
2020-03-22 11:32:18.026 | http-nio-8080-exec-4 | DEBUG | o.a.i.l.j.BaseJdbcLogger:BaseJdbcLogger.java(143) | ==>  Preparing: SELECT sr.* FROM s_role sr LEFT JOIN s_role_permission srp ON sr.id = srp.fk_role_id LEFT JOIN s_permission sp ON srp.fk_permission_id = sp.id WHERE sp.url = ? 
2020-03-22 11:32:18.037 | http-nio-8080-exec-7 | DEBUG | o.a.i.l.j.BaseJdbcLogger:BaseJdbcLogger.java(143) | ==> Parameters: /vue/axios.min.js(String)
2020-03-22 11:32:18.037 | http-nio-8080-exec-4 | DEBUG | o.a.i.l.j.BaseJdbcLogger:BaseJdbcLogger.java(143) | ==> Parameters: /vue/login.css(String)
2020-03-22 11:32:18.064 | http-nio-8080-exec-8 | DEBUG | o.a.i.l.j.BaseJdbcLogger:BaseJdbcLogger.java(143) | ==>  Preparing: SELECT sr.* FROM s_role sr LEFT JOIN s_role_permission srp ON sr.id = srp.fk_role_id LEFT JOIN s_permission sp ON srp.fk_permission_id = sp.id WHERE sp.url = ? 
2020-03-22 11:32:18.065 | http-nio-8080-exec-8 | DEBUG | o.a.i.l.j.BaseJdbcLogger:BaseJdbcLogger.java(143) | ==> Parameters: /vue/login.js(String)
2020-03-22 11:32:18.071 | http-nio-8080-exec-3 | DEBUG | o.a.i.l.j.BaseJdbcLogger:BaseJdbcLogger.java(143) | ==>  Preparing: SELECT sr.* FROM s_role sr LEFT JOIN s_role_permission srp ON sr.id = srp.fk_role_id LEFT JOIN s_permission sp ON srp.fk_permission_id = sp.id WHERE sp.url = ? 
2020-03-22 11:32:18.073 | http-nio-8080-exec-3 | DEBUG | o.a.i.l.j.BaseJdbcLogger:BaseJdbcLogger.java(143) | ==> Parameters: /vue/index.css(String)
2020-03-22 11:32:18.092 | http-nio-8080-exec-6 | DEBUG | o.a.i.l.j.BaseJdbcLogger:BaseJdbcLogger.java(143) | ==>  Preparing: SELECT sr.* FROM s_role sr LEFT JOIN s_role_permission srp ON sr.id = srp.fk_role_id LEFT JOIN s_permission sp ON srp.fk_permission_id = sp.id WHERE sp.url = ? 
2020-03-22 11:32:18.093 | http-nio-8080-exec-6 | DEBUG | o.a.i.l.j.BaseJdbcLogger:BaseJdbcLogger.java(143) | ==> Parameters: /vue/index.js(String)
2020-03-22 11:32:18.111 | http-nio-8080-exec-5 | DEBUG | o.a.i.l.j.BaseJdbcLogger:BaseJdbcLogger.java(143) | ==>  Preparing: SELECT sr.* FROM s_role sr LEFT JOIN s_role_permission srp ON sr.id = srp.fk_role_id LEFT JOIN s_permission sp ON srp.fk_permission_id = sp.id WHERE sp.url = ? 
2020-03-22 11:32:18.118 | http-nio-8080-exec-5 | DEBUG | o.a.i.l.j.BaseJdbcLogger:BaseJdbcLogger.java(143) | ==> Parameters: /vue/vue.js(String)
2020-03-22 11:32:18.151 | http-nio-8080-exec-6 | DEBUG | o.a.i.l.j.BaseJdbcLogger:BaseJdbcLogger.java(143) | <==      Total: 0
2020-03-22 11:32:18.153 | http-nio-8080-exec-4 | DEBUG | o.a.i.l.j.BaseJdbcLogger:BaseJdbcLogger.java(143) | <==      Total: 0
2020-03-22 11:32:18.154 | http-nio-8080-exec-3 | DEBUG | o.a.i.l.j.BaseJdbcLogger:BaseJdbcLogger.java(143) | <==      Total: 0
2020-03-22 11:32:18.153 | http-nio-8080-exec-7 | DEBUG | o.a.i.l.j.BaseJdbcLogger:BaseJdbcLogger.java(143) | <==      Total: 0
2020-03-22 11:32:18.153 | http-nio-8080-exec-8 | DEBUG | o.a.i.l.j.BaseJdbcLogger:BaseJdbcLogger.java(143) | <==      Total: 0
2020-03-22 11:32:18.152 | http-nio-8080-exec-5 | DEBUG | o.a.i.l.j.BaseJdbcLogger:BaseJdbcLogger.java(143) | <==      Total: 0
